month,opening_balance,new_billings,recognized_revenue,closing_balance
2025-01-01,962086.18,111928.81,166442.25,907572.74
2025-02-01,907572.74,193363.81,108917.57,992018.98
2025-03-01,992018.98,143014.32,108458.91,1026574.39
2025-04-01,1026574.39,193584.05,139922.31,1080236.13
2025-05-01,1080236.13,142891.78,79659.81,1143468.1
2025-06-01,1143468.1,80999.98,175107.24,1049360.84
2025-07-01,1049360.84,136968.83,103376.04,1082953.63
2025-08-01,1082953.63,167230.58,113631.2,1136553.01
2025-09-01,1136553.01,88226.98,92218.88,1132561.11
2025-10-01,1132561.11,81748.2,175086.37,1039222.94
2025-11-01,1039222.94,120857.74,71136.0,1088944.68
2025-12-01,1088944.68,89646.28,73377.22,1105213.74
